drugName,condition,review,rating,usefulCount
Effexor XR,Depression,"""I was taking effexor for depression. I found that my hot flashes went away. I love this medicine. It helped all of my menopause symptoms. The down side is I can&#039;t miss one! The hot flashes comes back with worst sweats than I had before. I now sleep very well at night.""",10.0,22
Belviq,Weight Loss,"""I lost 110lbs in 2004 but regained a bit. Been at same weight for almost six years now.  I take Phentermine 37.5mg/day since 2004. In 2010 my doctor suggested we add Topamax to my daily dose of Phentermine. No weight loss and my hair began to fall out.  He had equally poor results with other patients. On 10/8 I was put on Belviq 10mg/day for 15 days ($0) before increasing dose to 20mg/day ($159).  10/8-10/17 no weight loss...thought I was a non responder but I wanted to stick it out for the 12 week trial. 10/17-11/7 down 4lbs. I feel GREAT and I changed nothing in my diet or exercise routine. 12/9 visit, down 10lbs. No wonder my doc was so excited to start using this. Thank you Belviq!""",10.0,57
Bupropion,Major Depressive Disorde,"""Wellbutrin XL (Buproprion) has helped me kick cravings for alcohol and other drugs. It&#039;s really amazing. My doctor prescribed it for major depressive disorder/ptsd and I can feel it helping me get through the winter. I started out on 150mg for 2 months which was fine, then one month on 300mg which was too much (every day stomach-aches, shakes, too much energy, very speedy) so  doctor put me back on 150mg XL which is again working nicely and all the shaky/speedy feeling I had on 300mg is gone. 

My first 2-3 months on this drug I didn&#039;t have much of an appetite but it came back after that so now I still eat normally even though I&#039;m on the drug. So yeah, It takes some getting used to. Don&#039;t expect immediate results.""",9.0,52
Klonopin,Anxiety,"""They work well and don&#039;t cost as much.""",9.0,25
Implanon,Birth Control,"""After I had my son I decided to try Implanon. It took no time to put in and was relatively painless. It did hurt for a couple days after but nothing like the Depo shot. I have had no side effects. I have actually lost weight. And the best thing is I don&#039;t have to remember to take it everyday! I have had maybe 2 periods which was more like spotting in the last year that I have had it. It&#039;s great!""",10.0,3
Tussionex Pennkinetic,Cough,"""Works very well for cough suppression. Much more effective than guaifenesin with codeine. One adult dose at bedtime and I can sleep through the night, 8 hours, and wake up with very minor &quot;hang over&quot; that quickly wears off. Used for deep bronchitis cough, atelectasis after pneumonia, severe flu infection.""",10.0,20
Doxylamine,Insomnia,"""Takes an hour to kick in but lasts a long time and will give me eight to nine hours of sleep.  It has a very long half-life (9-15 hrs) and can leave me feeling drowsy for a long time throughout the day.""",7.0,103
Treprostinil,Pulmonary Hypertension,"""I found it to have horrible side effects that caused me to have to take several other meds to deal with the side effects i.e. Jaw pain, nerve pain in legs , site pain, migraines , dizziness, nausea , confusion and  depression. I did find my chronic cough was almost completely gone and I was starting to be able to walk further . I stopped after 1 month because the side effects were unbearable""",4.0,0
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,"""Helped clear infection but made me very moody and depressed!! Just finished 3 day course hope the side effects fade ... Nasty :(""",5.0,3
Mirena,Birth Control,"""I had Mirena inserted 9 months ago, and it has been the worst experience. This IUD will exacerbate stress, and I have periods for 10  days every month! I also noticed others were mentioning pain during intercourse and lack of libido: Totally!!!!!!! It is awful! I have no desire or energy, and when we do, I have pain in my lower abdomen in certain positions. As for acne, it has increased! I haven&#039;t experienced any issues with weight, although I haven&#039;t been actively trying to lose, and I have a fast metabolism. I have spoken to others who are taking it, and 1/8 people I spoken to kept it in after a year. They also mentioned panic attacks, severe depression, and lack of energy... &quot;mood changes&quot; don&#039;t take if u already have anxiety issues!""",1.0,10
Loestrin 24 Fe,Birth Control,"""Breakthrough bleeding for 2 straight weeks. It&#039;s not worth it to me.""",3.0,3
Etonogestrel,Birth Control,"""I had my Nexplanon device inserted about eleven months ago.  The only side effect I think I&#039;ve experienced is spot bleeding.  For a while it wasn&#039;t so bad- I wouldn&#039;t have my period for a very long time (like two months) then I would have it for longer than I used to with a different consistency (over a week).  Now, I pretty much bleed randomly all the time. It makes my sexual life difficult.  I will probably get it taken out at my next gynecological exam.""",3.0,8
Lisdexamfetamine,ADHD,"""I first took Vyvanse about a year ago, was up to 50mg a day. I found it extremely helpful, but by late afternoon I was angry at everything and everyone. I decided to stop. I then tried a few other medicines (Strattera and Concerta). Strattera didn&#039;t really work as well as a stimulant and had very negative effects on my sex life, and Concerta didn&#039;t really work at all. I was ready to give up, but decided to give Vyvanse another try. This time I lowered the does to 30mg, and only took it during the work week. WOW - it made a huge difference. I&#039;m not seeing the same side effects that I did first time. So it is clear to me that I was over medicating. Anyways, just thought I would share.""",8.0,39
Venlafaxine,Depression,"""It&#039;s good Friday 2016.  I got up today at 1pm. I went to bed at 11pm last night. My wife claims the dose isn&#039;t helping. it sure is helping me sleep, I have not  added or changed any other meds.""",7.0,0
Piperonyl butoxide / pyrethrins,Head Lice,"""Had to retreat. If it doesn&#039;t go away then I will do a Nax treatment. Nax has a different chemical in it.""",5.0,0
Trazodone,Anxiety,"""A great medicine for restless legs syndrome, anxiety and restless mind. I take 50 mg before bed and sleep well, sometimes I still get restless but a wonderful relief the trazodone has made the night time so much better. """,8.0,96
Hydroxyzine,Anxiety,"""I have hereditary Depression, Bipolar Type 2, PTSD, High Anxiety, Insomnia, and I am also breast feeding baby #4. (I also suffer from Severe Post Partum Depression beginning late in my pregnancies.) I have been on over 50 combinations of medications.
  (I caution you readers to be leery of reviews by those who prior took addictive medications to Vistaril, as they may have formed a biased addiction to their previous meds.)
  I am currently taking Prozac and Vistaril. My best medication combination when not pregnant or breast feeding was Prozac and Doxepin. The Vistaril is helping so greatly with both my anxiety and insomnia that I am switching permanently! I can even take Vistaril if my anxiety flares, plus it is not addictive! Loving it!!!""",10.0,109
Ethinyl estradiol / norethindrone,Birth Control,"""I&#039;m naturally depressed/anxious, but this medicine has made it so much worse. Panic attacks, headaches, suicidal thoughts. Awful experience.""",1.0,24
Tylenol,Sciatica,"""Tylenol is the only thing that helps my pain right now. Cannot function otherwise. Cannot sleep either. Even prescribed pain meds did not work as well.""",10.0,5
Buprenorphine / naloxone,Opiate Dependence,"""After I became hopelessly addicted to morphine and hydromorph I found myself living in squalor, dropped out of university, and was on my way to eviction and homelessness. I had tried tapering down myself, going cold turkey at home and even a few detox facilities. Nothing would stick. And most of the time I couldn&#039;t make it past 48 hours until I&#039;d crawl back to the pills again. I&#039;m in my early twenties and didn&#039;t see myself living to 30, let alone getting back in school. Another addict suggested methadone and after a year on that I was switched to Suboxone. I feel like myself now. I&#039;m back in university finishing my degree and forever grateful to Suboxone for saving me.""",10.0,71
Magnesium citrate,Constipation,"""Taking pain meds after having back surgery really stuffed me up for 10 days. After trying stool softeners and miralax I hit the web and found lots of good stuff about Magnesium Citrate. I took it around noon and drank 4 or five big cups of water within a few hours. It tasted kinda bitter, but it didn&#039;t make me gag or nauseous. After a few hours I became pretty bloated and it was not comfortable. I was starting to think it wasn&#039;t going to work until 3:30 am when I finally emptied out. Great stuff. Feel so much better. Worth a day of cramps.""",9.0,12
Atarax,Pain,"""This medicine did not help me.""",1.0,27
Kyleena,Birth Control,"""I got my Kyleena August 4th and so far my experience has been great. I had been on the pill, and the bar that&#039;s been in your arm for birth control and so far this is by far my favorite. Insertion was very painful for me but I&#039;ve never had a pap smear or anything similar to what getting an IUD is like. I had super bad cramps for about 3-4 hours and some light bleeding. My doctor gave me 4 ibuprofen to take after the insertion and said to take 2 extra strength Tylenol once I got home. After I took the two Tylenol and napped, I felt a ton better and only had light cramps. Second day, I barely spotted and had minimal cramping and today I have no spotting/bleeding and no cramps. All in all, the pain was worth it and I&#039;m SO happy I got the Kyleena""",10.0,3
Bupropion,Depression,"""I&#039;ve been taking this medication for depression. I&#039;ve been on it for about a year now. When I first started taking it I smoked about a pack a day. Over time this reduced my cravings for nicotine and helped me quit smoking. It took time and effort but it worked. Also when I started this medicine I weighed 207 lbs which was my highest weight. Wellbutrin caused weight loss for me and I now weigh 165. This medicine improves my overall mood and I am not as depressed as I was a year ago. I&#039;ve also experienced hair shedding, which has become more and more of a problem. Sometimes it comes out in handfuls. I gave this medicine a 9 because mostly my side effects were positive. I don&#039;t know where I&#039;d be without Wellbutrin.""",9.0,137
Dymista,Allergic Rhinitis,"""Dymista worked great on the swelling and pain in my sinuses, but I experienced several negative side effects so I discontinued use.  I felt jittery, anxious, nauseated and had diarrhea.""",5.0,27
Pentothal,Anesthesia,"""Used in me when I had my wisdom teeth removed.  Put me out, woke up feeling OK.  Didn&#039;t feel or recall a thing.  No side effects for me.""",10.0,4
Efinaconazole,"Onychomycosis, Toenail","""I have taken Jublia for 40 weeks now. Almost the   required 48 weeks. Of the five infected toe nails 2 are completely cured, 1 is still infected with no change, 1 is 50% cured and the big toe is probably 80% fungus free. So it is better than nothing but it definitely isn&#039;t the cat&#039;s pajamas in fungus treatment.""",6.0,12
Zutripro,Cough and Nasal Congestion,"""Best fast acting cough/congestion med I have ever used.  Minimal side effects that get better after a day. I could feel relief within an hour that lasted beyond its 6 hr dosing. If I&#039;d had this medicine first would&#039;ve not developed bronchitis from a sinus infection. Will ask for it again!""",10.0,7
Ethinyl estradiol / norgestimate,Birth Control,"""I&#039;ve been on Sprintec for about 2 years and I love it. I tried 2 different pills before this one and they were awful. Since starting this pill my periods have been extremely light, no significant weight gain (about 5 pounds), and it is very effective at preventing pregnancy. Sprintec is the epitome of good birth control from my experience. This pill has worked amazing for me, but everyone&#039;s body is different and reacts in different ways. The only true way to know if a pill is right for you is to try it out.""",9.0,11
Oxycodone,Chronic Pain,"""Have had chronic pain since I was 14 (now 60). Have tried every RX suggested, multiple pain clinics, too many surgeries to count, exercise, meditation, acupuncture, hypnotherapy, with nothing gained but side effects or increasing tolerance. I have been taking Oxycontin for 10 yrs and have since been able to put the pain on a back burner and get back to my life. The &#039;pendulum swings&#039; as they say, continued back &amp; forth medical opinions on treatment of chronic pain. The insurance companies now seem to be in complete control again and cost becomes the number one consideration in prescribed treatment. Matters not what my Dr. says or recommends, the cost is such that as of this month I can no longer take Oxycontin. I am so tired, back to bed I go""",8.0,34
Clonidine,Opiate Withdrawal,"""I have been prescribed every kind of pain medication. I&#039;ve been on Dilaudid 8mg for the past 8yrs. With everything I developed a tolerance to dilaudid it stopped working for me. So I jumped over to heroin  Let me tell yea first hand the biggest mistake of my life. I&#039;ve been on methadone for the past 2 yrs. And for the past 9 months I&#039;ve been Tappering off of methadone. Clonidine has helped me. God willing March 13 I will be done. Never give up!""",3.0,52
Lo Loestrin Fe,Birth Control,"""I read a lot of terrible reviews about LoLo before I started it and it scared me to death because this was my first experience with the pill. I think most people who have a bad experience want everyone to know and people who have good experience just assume that&#039;s how it should be, so they don&#039;t review. That being said, I have been on LoLo for 6 months and it has been amazing. I didn&#039;t have any weird side effects besides breast tenderness. I had weird bleeding all during my first month or two but now I don&#039;t have a period at all. I would definitely recommend.""",10.0,14
Ethinyl estradiol / etonogestrel,Birth Control,"""When I first started using the ring I had absolutely horrible anxiety for about 2 weeks. It faded with time. I didn&#039;t have any other major side effects other than it made my face explode with hormonal acne. I had very mild acne and it got worse every month that I used the ring. I had to stop taking it for that reason. I switched to Beyaz and I have zero side effects and my acne is 80% better after a week.""",4.0,5
Mirena,Birth Control,"""I have not had a single bad experience thus far with Mirena. 

I had it inserted about 10 months ago right after work. The whole &quot;procedure,&quot; start to finish, took about 15 minutes, and was only slightly painful. It was done by a nurse practitioner, who was reportedly more experienced than any of the other physicians at the practice. Another ten minutes to catch my breath and I rode my motorcycle home with no issues. I am in my early 20s and have never given birth.

My periods immediately lightened up until they became virtually non-existent. Very little cramping, easily taken care of by ibuprofen. I can still maintain my intense work-out schedule, lifting, cardio, abs, stretching included, with no fear of dislodging.""",10.0,72
Lorazepam,Anxiety,"""I have been suffering from depression for some time. I recently had to find a new Doctor because we moved out of state. He changed my antidepressants and added ativan 1mg 3 x a day. It made me feel sane again and stop shaking. I certainly don&#039;t want to become dependent on it but our bodies change along with our mind and if this keeps my head up and makes me look forward to the sun coming up then I will take it till I need it.""",10.0,16
Etonogestrel,Birth Control,"""I have inserted for a year now was excited about getting it because its a birth control that last for 3 years with no worries becoming pregnant. and I also have trouble with gaining weight...I&#039;m very under weight for my age which is another reason why I got it...but unfortunately it does not work for everyone the same way. Good thing I&#039;m not pregnant but haven&#039;t gained a pound, and my periods have became normal but stays on a little longer before, I have gotten acne and a little mood swings that&#039;s about it ...I will recommend it  but like I said as far as becoming pregnant it works but all the other side effects you may get them and you may not""",3.0,1
Levonorgestrel,Abnormal Uterine Bleeding,"""Reason for getting Mirena:
I am 40 yrs old, have endometriosis &amp; terrible periods (the kind that kept me home 1-2 days a month in bed with cramps and bleeding), &amp; no plans to have kids. On paper, I am the perfect candidate for the IUD.
Insertion was THE WORST PAIN OF MY LIFE.  Fortunately, it lasted only a few minutes.  My legs got pretty tired during the procedure and started shaking some.  My Dr encouraged me to relax more, so I literally let my legs fall open in the stirrups (imagine knees falling to the sides, towards the floor).  THAT HELPED HUGELY.  Once I let my legs fall open and to the sides, my inner thighs released, and my pelvic floor relaxed.  If you&#039;ve never given birth it will probably hurt!!!""",4.0,3
Aripiprazole,Bipolar Disorde,"""It works well for me.""",10.0,21
Diazepam,Muscle Spasm,"""Over all good""",6.0,41
Skyla,Birth Control,"""I had Skyla placed 2 years ago within the first few months I gained 30lbs, sex drive plummeted, horrible cramps, I felt bloated constantly.""",3.0,5
Imiquimod,Human Papilloma Virus,"""Was tested by my local health department and received a letter back saying I had abnormal pap with &quot;precancerous cells&quot;, visited my normal gyno and come to find out I was infected with hpv on my cervix and also had developed a small patch of gws on the opening to my vagina and my perineum which just looked like small razor burn and didn&#039;t come up til after shaving. I was put on Aldara cream and I have only been through about 5 applications of the cream and my gws are already gone. It is very costly if your insurance doesn&#039;t work, and it does make you pretty dry and itchy, but I would recommend it to anyone fighting gws from hpv.""",10.0,6
Viagra,Erectile Dysfunction,"""I&#039;m 48 and it makes me feel 20 again &quot;down there&quot;. I take 25mg on an empty stomach pre-dissolved in water and it works in 10 minutes. Side effects have been very mild..
stuffy nose and an occasional light headache. Allows me to be very effective for about 4 to 6 hours with a quick recovery time. This is a great medicine, but don&#039;t overuse. Taking it everyday is not as sweet as once or twice a week.""",10.0,64
Sertraline,Social Anxiety Disorde,"""From bad to good. 
Wk1, great. Obviously placebo. 
Wk2 was a low week. SO tired all day long. I struggled to concentrate. Work performance was affected. I learned that alcohol brings you right down. DON&#039;T DO IT! Some anxiety
Wk3 Another low week. I felt zombified. Tired all day. I could barely stay awake in meetings. I couldn&#039;t pay attention for more than a minute. Noticed my hands are shaking. Some anxiety.
Wk4 Better but still tired. Small up but still zombified &amp; shaking hands
Wk5 Less tired but still shaky. Mood is lifting. Strange confidence. Loving it!
Wk6 Confidence &amp; mood grows. Little anxious
Wk7 Definitely better. Small wobble due to alcohol.
Wk8 Feeling great. There is hope! 
Avoid too much alcohol &amp; coffee. 2 or 3 per day is ok.""",10.0,60
Cipro,Bronchitis,"""This is the only medication that works for me!""",10.0,24
Strattera,ADHD,"""I have only been using it for 3 weeks. I am 38 years old and only now been tested for ADHD (it seems I have had it all my life). Now I can sit still in one place longer, start and finish a task, etc.""",6.0,50
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,"""Hey ladies, I purchased the Monistat 3 simple cure, where it&#039;s just 3 pre-filled suppositories; no wipes or itch relief cream included. I purchased after 2 days of intense itching and throbbing and I just used Day 1 about 10 minutes ago. I currently do not feel any pain nor itching and I am extremely sensitive to any body washes or laundry detergents. I&#039;ll give an update tomorrow on if I made it through the night, I&#039;m not going to lie the reviews had me completely terrified but I couldn&#039;t take the itching or throbbing anymore so I decided to try it out. 

Wish me luck, so far I feel fine""",7.0,9
Naproxen,Bursitis,"""I was prescribed Naproxen 500mg for my bursitis behind my knees in both legs. I am a college athlete and was having many problems performing at the necessary level with the pain in my legs--Naproxen helped immensely. Felt very nauseous if I did not take this medication on a full stomach!""",7.0,24
Paxil,Anxiety,"""I am one of those people who was very against taking medication for my anxiety, until I realized I needed more than Talk Therapy. I tried Paxil and it has made a world of a difference. I no longer have daily panic attacks, or worry constantly. I&#039;m able to make plans with my friends without the worry of having a meltdown in front of them. My biggest fear was getting on a plane again, and I did with no problem. Paxil has truly given me my life pack, and for that I am so thankful.""",8.0,47
Cymbalta,ibromyalgia,"""Cymbalta has made my life almost pain free. I am having hot flashes since I&#039;ve been on it. Taking it for 1 month.""",10.0,27
Methadone,Pain,"""It&#039;s the best thing that&#039;s ever happened to me.""",10.0,16
Yaz,Polycystic Ovary Syndrome,"""I would be absolutely useless during my period and the pain from my &quot;episodes&quot;, as we have come to call them, would be so bad that I would actually go into shock. I took Yaz for a little over a year and LOVED IT. My periods were nearly pain-free, my skin looked AMAZING (even though it wasn&#039;t horrible before), and I had no definite side effects. I went from needing 2 Acetaminophen and 4 Ibuprofen every four hours or a Hydrocodone (for the pain) to needing nothing! The pain had gone from unbearable to a mild discomfort. I had no change in weight, and my moods were much more stable. My only side effect was mild &quot;rocky&quot; stomach the first few days after initially starting the pill. It worked great for me.""",9.0,13
Suboxone,Opiate Dependence,"""Today is my first drug free day and I don&#039;t feel bad at all but actually feel pretty good. This is without a doubt the best detox drug I have ever used.""",10.0,28
Vortioxetine,Depression,"""I have had clinical depression since I was a young child. I am now almost 24 and I don&#039;t think I&#039;ve ever been happy, for more than a few weeks at a time, in my entire life. I have been on Zoloft and Wellbutrin in the past that did not help at all. I have been on Brintellix for a little over 6 months now and it has changed my life. I&#039;m a better wife, mother and a significantly better college student. For the first time in my life I feel alive. There are no longitudinal studies on this new drug which makes me nervous. Side effects were severe for about 3 weeks and my insurance doesn&#039;t cover this very expensive drug(why I rated 9/10). Ultimately, Brintellix changed my life. I didn&#039;t think I would ever be happy.""",9.0,100
Geodon,Bipolar Disorde,"""After having about the worst case of bipolar one you can imagine...yes I was hospitalized twice... I am a productive and absolutely a normally functioning member of society. I am in nursing school for my BSN at a very esteemed university and am married happily. The only thing I don&#039;t like about Geodon is if I&#039;m manic and have to take it during the day instead of before bed.... I literally eat 3x as much as I normally would. Other than that this medicine has saved my life.""",10.0,67
Sertraline,Depression,"""I took this for over a year at age 20 it got me out of a depressing time. I have always been a VERY shy person and quiet. Literally a day or two after I started taking this I was with some friends and I was like the center of the conversation. I felt like all the mental stuff holding me back was gone! I started thinking more positively while I was on this. I still had bad days, I was unemployed at the time but got through it. I did gain 25lbs while on this.
I finally got to a point where I wasn&#039;t depressed anymore and was beginning to over react to situations and was getting a discontented/sad feeling where I felt like I had to be doing something so I stopped cold turkey and was okay. I lost all 25 lbs, quieter self is back and depression free.""",7.0,10
Mesalamine,"Ulcerative Colitis, Active","""Gives me moderate headaches, acne, fatigue and susceptibility to infections when I use it but it does help to manage ulcerative colitis. I have to balance between the side effects of the medicine and the intestinal damage. My goal is to use it once a week.""",6.0,7
Escitalopram,Anxiety,"""Best medication ever. It takes a bit to kick in but once it does ....amazing.  I am on my way to getting my life back. Don&#039;t get discouraged it works. I was in my sixth week before i felt it and my doctor increased me to 20 mg and things are going great.""",10.0,119
Asenapine,Bipolar Disorde,"""I take a low dose of Saphris (5 mg). My experience with this medicine is simply incredible. It makes me feel so &quot;zen&quot; and happy, it&#039;s a feeling difficult to describe. I used to take clonazepam, but it never made me feel that great. 

Another good point is that it helps going to sleep, but waking up is easy (not like Seroquel and Zyprexa!!)""",9.0,69
Teriflunomide,Multiple Sclerosis,"""I was diagonised with ppms in sept 2014 Aubagio was not intended for this kind of MS but neuroligist thought I should try it started in dec.2014 I find that I get a qo easy feeling about half hour after taking seems to go away pretty quick less than an hour. I also find that I cut myself and bleed easily just by touching something don&#039;t know if this is from aubagio. I also have loss of balance and slurred speech don&#039;t know if this is the med. or just m.s. I had a MRI in sept 2015 and was told my ms had not progressed which is a good thing neuroligist says it is because of the aubagio;""",7.0,0
Geodon,Bipolar Disorde,"""Diagnosed with bipolar disorder 7 months ago, this medicine is the first that has actually WORKED. Tried Lamictal, Depakote, Trileptal, etc. I was prescribed Geodon 2 months ago it stabilized my mood, staves off depression and gives me hope for a normal life.

However, I&#039;m unusually forgetful (unusual for me) and confused (er, more than usual for me). I don&#039;t remember dreams or anything that happens for 6 hours after I take it at bedtime. Also noticing that I bruise very easily and I&#039;m sweating ALL of the time, strong smelling urine. """,7.0,17
Liraglutide,"Diabetes, Type 2","""Started on 1 April 17 and so far NO weight loss, my glucose readings gone UP not down, I have this full feeling all the time which I can&#039;t bear 
 and feel generally &#039;not myself&#039; . This evening I&#039;ve had severe palpitations for about 3 hours with a horrible doom and gloom feeling,  I have no pain,  just flutters, tearful, impending doom feeling.  I have just taken a reading and my glucose is 25mmol/L which is higher than it was BEFORE I started on Viktoza.  It&#039;s not for me.  I was doing better and feeling better just taking Sitagliptin.  Going to ring my doctor tomorrow.""",1.0,12
Dexchlorpheniramine,Allergic Reactions,"""Simply the best. Doesn&#039;t build up in the body, works quickly. Unfortunately, increasingly difficult to source.
I don&#039;t want to trade in one-a-day convenience for side effects, longer retention in my body, and less effective function.""",10.0,2
Cyclobenzaprine,Sciatica,"""For my migrains, back spasms, and sciatica, this was a fantastic find.  I take as needed, which is weekly.  I have sleep problems and it helped with that too.  I take an hour before bed, drink plenty of water with it and in the morning.  After a shower, I&#039;m alert again.  Sometimes, for whatever reason, I do have drowsiness, but maybe that is hormone related or dosage.  I suspect it builds up and then my body hangs on to it at times more than others.  Water and nap and I&#039;m usually back.  A quick walk to get the blood moving.  I&#039;m disappointed I can&#039;t do more with my lower back problems - therapy, strength training, yoga, etc.  Surgery won&#039;t work.  This drug has made my year so much better.  Thinking of a themepark first time in yr""",8.0,17
Junel Fe 1 / 20,Polycystic Ovary Syndrome,"""In 2014 I was diagnosed with PCOS. I was 14 years old and had no idea what to expect. In 2017 I was switched from Tri-Previfem to Junel FE 1/20, the 21 day pack. I&#039;ve been on it for 3 months now. In that time span I&#039;ve been constantly woken up from nightmares and have anxiety attacks and heart palpations. My mood has literally been off the wall. I snap at everything. If someone even asks me a question I blow up. I&#039;m also constantly nauseous. I honestly thought I was pregnant at first, but many doctors and home tests proved me wrong. I wouldn&#039;t suggest this because I&#039;ve never had problems with anxiety before this. Definitely going to my gyno to switch soon!!""",3.0,3
Quetiapine,Insomnia,"""In my opinion, mirtazapine makes me fall asleep quicker, but quetiapine makes me sleep for more hours straight on end. 
Overall I think 25/50 mg Seroquel/quetiapine IR is the best sleepaid out there. Even after months or years of continous use, it doesnt loose its strength and is still nowhere near as addictive as benzodiazepines or barbitrates, while still being sedative.""",9.0,47
Tioconazole,Vaginal Yeast Infection,"""I&#039;ve used the three part monistat before and it worked like a charm...BUT! I used the monistat 1 and at first it helped slightly and then it started to itch, like really itch. I decided to go pee then and it all pretty much came out, and then it burned so horribly that I now have an Ice pack on it Which is incredibly embarrassing. I wouldn&#039;t recommend the monistat 1 to my worst enemy.""",1.0,1
Sertraline,Anxiety and Stress,"""As far as a sleep medication it works great, as far as anxiety medication I find that Ativan, klonopin and most benzodiazepines work better for me as anxiety medications but that is just my own personal experience with anxiety medications. """,7.0,13
Pegfilgrastim,Neutropenia Associated with Chemotherapy,"""I was given neulester after my chemo treatments as well. I was expecting the worst, because that is what you hear from others. I received 16 treatment of chemo and 16 of neulester and I can truly say that I was blessed with everything. I do recall having a little pain in my legs one day,but it last for appr. Two hours on and off. My count remain where it needed to be,never went down.""",10.0,20
Indomethacin,"Gout, Acute","""Indocin or indomethacin in my opinion is very effective in relieving gout symptoms.  Taking 25mg at my first opportunity (the point where I convince myself that I did nothing to stub my toe and it is a gout attack) quickly reduces the pain.  I have not experienced the stomach pains or paranoia that the previous post talks about.  I always take this medicine with food and drink as directed by my physician.""",10.0,58
Duloxetine,Diabetic Peripheral Neuropathy,"""I have peripheral neuropathy and very bad pain in my back.  Cymbalta made a huge improvement in my pain level.  The doctor started me gradually to lessen the nausea.  I have worked up to 30 mg. twice a day for a total of 60 mg.  I have been taking it for 3 months and still find the pain level, and my frame of mind, much improved.  I do have slight nausea occasionally, and dry mouth.  The excessive sweating has gone away.""",8.0,60
Ergocalciferol,Vitamin D Deficiency,"""I was put on this medication for extremely low levels of vitamin D.  I was put on 50,000 units once a week. About 6/7 hours after taking it, I ended up in the ER that night feeling like my throat was closing up and couldn&#039;t breathe or swallow.  I was also dizzy and confused any days afterwards.""",1.0,19
Methamphetamine,ADHD,"""Immediately after starting this I began focusing on life and stopped having racing thoughts of future fortune, and bad memories. Now I got a job, girlfriend, and loving the now.""",10.0,16
Lithium,Bipolar Disorde,"""I have been using Eskalith for the last 5 years now and it has really help control the mania part of my bi-polar. If you want a good medication to help control your mania I highly suggest this one.""",10.0,41
Celecoxib,Osteoarthritis,"""Have been taking about 3 weeks (200mg/daily). Started having irregular heartbeats after about 2 weeks. Stopped taking and it cleared up, I started taking again and irregular heartbeats have returned. I guess I will have to stop, what a shame--- it really helps the pain!!!
	""",8.0,62
Latuda,Bipolar Disorde,"""I started Latuda about a month ago so far I feel amazing. My negative thoughts (voices in my head) are not gone but more positive and not so attacking. I havnt had any erges in my body to yell scream or cry for no reason. I havnt yet to pop off quick like I did before I have no feeling to even be upset. I&#039;m Feeling as if iv let go of all the bad energy I had inside me. A lot more tired and restless I&#039;m sure I will get more use to it later but it&#039;s help me not wake up in a panic like I did everyday before. I would truly recommend to anyone who just wants to figure out who they truly are somone who wants consistency with there self If that makes sense? I love the person I am now and I hope to keep feeling this way. Good luck""",8.0,55
Gabapentin,Pain,"""I suffer from Rheumatoid Arthritis and I&#039;ve been in constant pain since my diagnosis 4 years ago.  The rheumatoid arthritis medications curbed the pain, but it was still 7 on a scale of 1-10 and it was debilitating.  I&#039;ve been on gabapentin for just 2 weeks and the pain is now down to a 2 on a scale of 1-10.  Why didn&#039;t any of my Doctors suggest this before now?""",9.0,144
Lorcaserin,Weight Loss,"""Been one week and down 7lbs... I have a slight headache but not sure if it is because my desire for diet coke (reducing caffeine intake) and food has reduced greatly!  Headaches relieved by ibuprofen. Sometimes I look at the clock and its 1-2 hours after normal meal time!  I used to be the first (or second) person at our work cafe for every meal!  I will repost after a month.   Love the results so far.  I have willpower and not so food obsessed!""",10.0,42
Pristiq,Depression,"""I have had depression for a long time, sometimes more serious, sometimes less serious. In the past 7 years, I think I experience a &quot;re-entry shock&quot; going back to the teaching profession in HK.

I need to take it once per day. I did not experience any side effect like sleepiness, dizziness. I can perform my normally heavy duties in my workplace. At first my doctor ask me to take it after evening, but since it will not affect my work and need not be taken after meals, I prefer to take it right after I get up, and I can establish a routine for it easily. 

Soon after I have taken Pristig, all my negative thoughts and feelings disappear like miracle and many people around me commented that I am happier than before.""",10.0,105
Implanon,Birth Control,"""I have never had a worse experience on a birth control before- but don&#039;t get me wrong, for some people this works! But for me, my moods were totally insane, completely up and down and I could not control my emotions. I felt constantly depressed and my sex drive basically disappeared. On top of that, I gained 15 pounds and COULD NOT LOSE IT. I was the heaviest I&#039;ve ever been on this birth control. I really can&#039;t stress enough how much it affected me mentally though, it was intense and everyone around me had to go through my terrible mood swings and anger too. I personally could not recommend this to anyone because of the side affects I endured. I got the implant out 7 months later and lost the weight I had gained and started feeling better.""",1.0,10
Asenapine,Bipolar Disorde,"""I started out with 20 mg of Saphris but stayed groggy.  Went down to 10 mg and have been on it for 6 months. I also take a sleep aid at night and now I sleep 6-7 hrs compared to 3-4. No running thoughts in my head. The longest time I have ever stayed out of the hospital in 12 years. I feel wonderful, when I start getting anxious, I take a 5 mg with my Xanax and I am good to go. Downside: Gained 50 pds and cholesterol is through the roof, even though I do not eat red meat. Always have the munchies though. Had to start on a statin medicine. Blood sugar is higher than usual but within range.  Keeping an eye out on this too.  But this is the only medicine that has worked for me without being a zombie or continued mixed episodes.""",9.0,39
