drugName,condition,n_reviews,avg_rating,sentiment_score,total_useful
Prednisone,Cluster Headaches,8,9.25,0.8198,93
Valtrex,Cold Sores,124,9.24,0.9301,2962
Valacyclovir,Cold Sores,178,9.21,0.9225,3234
Denavir,Cold Sores,33,9.0,0.9181,267
Penciclovir,Cold Sores,36,9.08,0.9159,273
Famvir,Cold Sores,7,8.43,0.8526,197
Acyclovir,Cold Sores,36,8.39,0.8491,330
Sitavig,Cold Sores,7,8.57,0.8358,59
Famciclovir,Cold Sores,27,8.44,0.8254,446
Zovirax Cream,Cold Sores,13,7.31,0.7488,127
Chlorpheniramine / phenylephrine,Cold Symptoms,6,9.83,0.9766,21
Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Cold Symptoms,5,8.2,0.9467,15
Vicks Nyquil D Cold and Flu Nighttime Relief,Cold Symptoms,5,8.2,0.9467,15
Dexbrompheniramine / pseudoephedrine,Cold Symptoms,9,10.0,0.9029,61
Drixoral Cold and Allergy,Cold Symptoms,7,10.0,0.8881,58
Ephedrine / guaifenesin,Cold Symptoms,8,9.38,0.8531,53
Echinacea,Cold Symptoms,9,9.11,0.8492,81
Actifed,Cold Symptoms,6,8.17,0.8146,32
Chlorpheniramine / hydrocodone,Cold Symptoms,13,8.15,0.7878,95
Tussionex Pennkinetic,Cold Symptoms,11,7.91,0.7623,91
Pseudoephedrine / triprolidine,Cold Symptoms,7,8.14,0.7538,32
Acetaminophen / chlorpheniramine,Cold Symptoms,5,7.6,0.7226,79
Coricidin HBP Cold & Flu,Cold Symptoms,5,7.6,0.7226,79
Acetaminophen / chlorpheniramine / phenylephrine,Cold Symptoms,7,5.43,0.5989,19
Xeloda,Colorectal Cance,6,8.83,0.941,343
Capecitabine,Colorectal Cance,10,8.6,0.9153,390
Barium sulfate,Computed Tomography,11,5.18,0.5723,130
Imiquimod,Condylomata Acuminata,5,6.6,0.8896,57
Condylox,Condylomata Acuminata,6,7.33,0.8592,110
Podofilox,Condylomata Acuminata,22,7.91,0.7417,246
Ketotifen,"Conjunctivitis, Allergic",8,9.62,0.8226,121
Bepotastine,"Conjunctivitis, Allergic",15,7.33,0.7215,67
Bepreve,"Conjunctivitis, Allergic",14,7.14,0.7035,67
Alcaftadine,"Conjunctivitis, Allergic",18,5.67,0.5814,316
Lastacaft,"Conjunctivitis, Allergic",18,5.67,0.5814,316
Tobramycin,"Conjunctivitis, Bacterial",5,9.4,0.9064,58
Moxifloxacin,"Conjunctivitis, Bacterial",12,7.08,0.7207,120
Vigamox,"Conjunctivitis, Bacterial",9,6.78,0.7149,97
Dexamethasone / tobramycin,"Conjunctivitis, Bacterial",5,7.2,0.6644,103
TobraDex,"Conjunctivitis, Bacterial",5,7.2,0.6644,103
Polymyxin b / trimethoprim,"Conjunctivitis, Bacterial",6,5.17,0.6272,117
Magnesium oxide,Constipation,9,9.56,0.9484,602
Sodium biphosphate / sodium phosphate,Constipation,27,9.44,0.927,350
Fleet Enema,Constipation,21,9.38,0.9221,299
Metamucil,Constipation,8,8.75,0.8973,213
Psyllium,Constipation,8,8.75,0.8973,213
Milk of Magnesia,Constipation,10,8.9,0.8899,173
Glycerin,Constipation,7,8.14,0.8844,67
MiraLax,Constipation,93,8.82,0.8837,6420
Polyethylene glycol 3350,Constipation,126,8.67,0.8572,6721
Magnesium citrate,Constipation,210,9.0,0.8527,6992
Docusate,Constipation,12,6.67,0.8478,386
Magnesium hydroxide,Constipation,108,8.68,0.822,2944
Phillips' Milk of Magnesia,Constipation,95,8.61,0.8107,2767
Linaclotide,Constipation,49,7.27,0.7276,1600
Linzess,Constipation,49,7.27,0.7276,1600
Dulcolax Laxative,Constipation,26,6.77,0.6366,138
Senna,Constipation,56,5.93,0.6277,807
Senokot,Constipation,24,5.62,0.6125,547
Bisacodyl,Constipation,648,5.69,0.5283,6264
Dulcolax,Constipation,471,5.62,0.5154,5423
Correctol,Constipation,21,5.52,0.3978,268
Amitiza,Constipation,5,2.0,0.3734,78
Lubiprostone,Constipation,5,2.0,0.3734,78
Polyethylene glycol 3350,"Constipation, Acute",10,9.0,0.9021,531
MiraLax,"Constipation, Acute",9,9.0,0.8913,525
Lactulose,"Constipation, Acute",14,7.79,0.8295,407
Docusate / senna,"Constipation, Acute",11,8.45,0.7631,198
Polyethylene glycol 3350 with electrolytes,"Constipation, Chronic",11,9.36,0.9197,153
Tegaserod,"Constipation, Chronic",10,9.9,0.866,136
Zelnorm,"Constipation, Chronic",10,9.9,0.866,136
Lactulose,"Constipation, Chronic",23,9.04,0.852,1033
Linaclotide,"Constipation, Chronic",245,7.36,0.7492,10633
Linzess,"Constipation, Chronic",240,7.32,0.7457,10631
Lubiprostone,"Constipation, Chronic",107,6.71,0.7173,3908
Amitiza,"Constipation, Chronic",104,6.71,0.7163,3905
Methylnaltrexone,"Constipation, Drug Induced",28,7.29,0.7579,734
Relistor,"Constipation, Drug Induced",28,7.29,0.7579,734
Amitiza,"Constipation, Drug Induced",14,5.5,0.5193,335
Lubiprostone,"Constipation, Drug Induced",14,5.5,0.5193,335
Movantik,"Constipation, Drug Induced",110,4.54,0.5022,2743
Naloxegol,"Constipation, Drug Induced",111,4.59,0.5011,2743
Naproxen,Costochondritis,6,8.67,0.7021,61
TussiCaps,Cough,5,9.8,0.9226,66
Tussionex Pennkinetic,Cough,71,9.35,0.8845,921
Chlorpheniramine / hydrocodone,Cough,87,9.33,0.8813,1064
Acetaminophen / hydrocodone,Cough,20,9.45,0.8646,835
Acetaminophen / codeine,Cough,10,8.5,0.8254,317
Hycodan,Cough,28,8.68,0.8104,403
Tylenol with Codeine #3,Cough,6,7.67,0.7707,275
Homatropine / hydrocodone,Cough,78,7.88,0.7559,1164
Hydromet,Cough,26,8.04,0.751,653
Tessalon,Cough,12,7.5,0.7494,294
Mucinex DM,Cough,5,6.6,0.7194,68
Dextromethorphan / guaifenesin,Cough,9,6.89,0.7058,106
Codeine / promethazine,Cough,44,7.23,0.6869,706
Dextromethorphan / promethazine,Cough,6,6.17,0.676,58
Promethazine DM,Cough,6,6.17,0.676,58
Guaifenesin,Cough,49,6.22,0.623,894
Mucinex,Cough,27,6.26,0.6183,737
Tessalon Perles,Cough,61,6.38,0.5968,1898
Codeine / guaifenesin,Cough,53,6.11,0.5883,1076
Delsym 12 Hour Cough Relief,Cough,11,4.91,0.5515,41
Cheratussin AC,Cough,27,5.41,0.5443,735
Benzonatate,Cough,274,4.97,0.5148,5211
Dextromethorphan,Cough,171,3.87,0.3796,1188
Delsym,Cough,104,3.38,0.3304,934
Chlorpheniramine / hydrocodone / pseudoephedrine,Cough and Nasal Congestion,12,10.0,0.9085,90
Zutripro,Cough and Nasal Congestion,12,10.0,0.9085,90
Chlorpheniramine / dextromethorphan / pseudoephedrine,Cough and Nasal Congestion,5,9.8,0.9043,26
Dextromethorphan / guaifenesin / pseudoephedrine,Cough and Nasal Congestion,6,9.33,0.8937,13
Chlorpheniramine / dextromethorphan / phenylephrine,Cough and Nasal Congestion,6,8.33,0.8579,34
Bromfed DM,Cough and Nasal Congestion,12,6.67,0.7592,131
Brompheniramine / dextromethorphan / pseudoephedrine,Cough and Nasal Congestion,18,6.17,0.6856,140
Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,178,6.56,0.6692,2495
Mucinex D,Cough and Nasal Congestion,157,6.47,0.6657,2435
Mucinex D Maximum Strength,Cough and Nasal Congestion,12,6.33,0.5844,8
Chlorpheniramine / dextromethorphan,Cough and Nasal Congestion,5,5.4,0.4686,33
Pentasa,Crohn's Disease,8,8.75,0.9282,68
Cholestyramine,Crohn's Disease,8,9.25,0.9136,315
Sulfasalazine,Crohn's Disease,5,9.6,0.8508,60
Budesonide,Crohn's Disease,5,7.8,0.8493,89
Balsalazide,Crohn's Disease,5,7.4,0.7924,44
Mesalamine,Crohn's Disease,23,7.48,0.7852,212
Asacol,Crohn's Disease,6,8.33,0.7719,61
Azathioprine,Crohn's Disease,6,6.33,0.6743,66
Adalimumab,Crohn's Disease,29,6.14,0.6554,689
Humira,Crohn's Disease,29,6.14,0.6554,689
Remicade,Crohn's Disease,9,5.56,0.6025,79
Infliximab,Crohn's Disease,11,5.55,0.5595,84
Entyvio,Crohn's Disease,12,4.25,0.3947,116
Vedolizumab,Crohn's Disease,13,4.0,0.3773,120
Infliximab,"Crohn's Disease, Acute",10,6.6,0.7635,79
Remicade,"Crohn's Disease, Acute",10,6.6,0.7635,79
Metronidazole,"Crohn's Disease, Acute",7,7.86,0.7025,25
Adalimumab,"Crohn's Disease, Acute",6,6.83,0.6922,154
Humira,"Crohn's Disease, Acute",6,6.83,0.6922,154
Asacol,"Crohn's Disease, Maintenance",7,8.14,0.9371,122
Mesalamine,"Crohn's Disease, Maintenance",44,8.18,0.8912,899
Pentasa,"Crohn's Disease, Maintenance",34,8.06,0.8789,761
Certolizumab,"Crohn's Disease, Maintenance",6,9.17,0.8156,103
Cimzia,"Crohn's Disease, Maintenance",6,9.17,0.8156,103
Adalimumab,"Crohn's Disease, Maintenance",37,7.81,0.8051,1537
Humira,"Crohn's Disease, Maintenance",37,7.81,0.8051,1537
Infliximab,"Crohn's Disease, Maintenance",28,7.64,0.7867,845
Remicade,"Crohn's Disease, Maintenance",28,7.64,0.7867,845
Azathioprine,"Crohn's Disease, Maintenance",10,7.1,0.7836,207
Imuran,"Crohn's Disease, Maintenance",9,6.78,0.7607,203
Mercaptopurine,"Crohn's Disease, Maintenance",8,3.75,0.2927,68
Nystatin / triamcinolone,Cutaneous Candidiasis,6,10.0,0.8888,122
Nystatin,Cutaneous Candidiasis,6,8.83,0.8609,68
Nortriptyline,Cyclic Vomiting Syndrome,5,8.6,0.9488,45
Amitriptyline,Cyclic Vomiting Syndrome,20,9.2,0.9137,310
Pancrelipase,Cystic Fibrosis,5,10.0,0.869,65
Ketoconazole,Dandruff,5,7.4,0.9324,38
Enoxaparin,Deep Vein Thrombosis,6,9.0,0.8695,138
Lovenox,Deep Vein Thrombosis,6,9.0,0.8695,138
Dabigatran,Deep Vein Thrombosis,6,6.5,0.7735,72
Pradaxa,Deep Vein Thrombosis,6,6.5,0.7735,72
Xarelto,Deep Vein Thrombosis,33,6.27,0.6033,954
Rivaroxaban,Deep Vein Thrombosis,36,6.14,0.586,963
Apixaban,Deep Vein Thrombosis,5,5.8,0.5461,142
Eliquis,Deep Vein Thrombosis,5,5.8,0.5461,142
Warfarin,"Deep Vein Thrombosis, First Event",7,8.57,0.8197,213
Flagyl,Dental Abscess,7,8.14,0.8552,366
Metronidazole,Dental Abscess,75,6.6,0.6544,1783
Clarithromycin,Dental Abscess,5,6.0,0.6443,130
Amoxicillin,Dental Abscess,20,5.25,0.525,464
Provigil,Depression,6,8.83,0.9413,669
Symbyax,Depression,15,8.93,0.9381,476
Fluoxetine / olanzapine,Depression,16,8.88,0.9359,482
Phenelzine,Depression,36,8.31,0.9352,1413
Nardil,Depression,33,8.42,0.9343,1400
Serzone,Depression,9,9.67,0.9291,482
Niacin,Depression,20,9.75,0.9136,1857
Methylphenidate,Depression,32,9.0,0.9098,2125
Clomipramine,Depression,13,9.23,0.9085,565
Alprazolam,Depression,82,9.15,0.9054,6132
Xanax,Depression,64,9.17,0.9046,5891
S-adenosylmethionine,Depression,5,8.4,0.8865,41
Norpramin,Depression,5,9.8,0.8793,263
Selegiline,Depression,26,8.46,0.8783,1457
Parnate,Depression,46,8.91,0.8781,1632
Tramadol,Depression,75,9.41,0.8754,5474
Emsam,Depression,21,8.33,0.8748,1394
Tranylcypromine,Depression,54,8.52,0.8678,1655
Modafinil,Depression,36,8.36,0.8675,1640
Anafranil,Depression,5,8.4,0.8648,250
Amitriptyline,Depression,51,8.49,0.8579,3494
St. john's wort,Depression,51,8.67,0.8549,3461
Paxil CR,Depression,12,7.08,0.8371,185
L-methylfolate,Depression,80,7.89,0.8353,6096
Elavil,Depression,16,8.44,0.8336,1508
Budeprion SR,Depression,6,8.33,0.8313,62
Desipramine,Depression,12,9.0,0.8274,448
Lamotrigine,Depression,65,8.0,0.8234,2989
Deplin,Depression,61,7.51,0.814,5621
Citalopram,Depression,513,7.47,0.8045,20661
Lexapro,Depression,408,7.62,0.8039,21366
Nefazodone,Depression,23,8.87,0.8025,725
Celexa,Depression,299,7.37,0.8015,17647
Remeron SolTab,Depression,5,8.0,0.8003,90
Escitalopram,Depression,515,7.56,0.7988,22378
Wellbutrin XL,Depression,184,7.78,0.7958,10861
Budeprion XL,Depression,14,6.93,0.7955,171
Remeron,Depression,95,7.59,0.7865,8040
Zoloft,Depression,386,7.18,0.782,30910
Prozac,Depression,271,7.26,0.7806,16358
Seroquel XR,Depression,43,7.44,0.78,2639
Pristiq,Depression,554,7.21,0.7767,23250
Fluoxetine,Depression,391,7.27,0.7742,17606
Desvenlafaxine,Depression,573,7.16,0.7735,23317
Armodafinil,Depression,17,7.41,0.7704,512
Bupropion,Depression,747,7.39,0.7689,41677
Risperdal,Depression,6,6.67,0.7663,382
Wellbutrin,Depression,322,7.35,0.7649,25264
Seroquel,Depression,26,7.23,0.7634,782
Sertraline,Depression,663,7.14,0.7582,36424
Mirtazapine,Depression,280,7.34,0.753,12632
Quetiapine,Depression,109,7.07,0.7509,4036
Trazodone,Depression,74,7.27,0.7485,5468
Effexor XR,Depression,189,7.33,0.7428,7029
Lithium,Depression,19,6.58,0.7325,607
Aripiprazole,Depression,202,6.88,0.7305,13467
Nuvigil,Depression,14,7.0,0.7271,484
Abilify,Depression,194,6.85,0.7264,13449
Wellbutrin SR,Depression,71,6.79,0.726,4169
Paroxetine,Depression,186,6.83,0.716,6413
Rexulti,Depression,17,7.29,0.7155,480
Paxil,Depression,136,6.82,0.7145,6028
Risperidone,Depression,22,6.32,0.7126,754
Fluvoxamine,Depression,16,7.0,0.709,346
Nortriptyline,Depression,26,6.46,0.7077,807
Brexpiprazole,Depression,22,7.32,0.7056,489
Imipramine,Depression,12,6.75,0.7034,425
Viibryd,Depression,397,6.57,0.6905,20955
Vilazodone,Depression,407,6.57,0.6893,20962
Doxepin,Depression,15,6.93,0.6862,571
Venlafaxine,Depression,574,6.54,0.6853,18596
Zyprexa,Depression,36,6.11,0.665,2127
Cymbalta,Depression,411,6.49,0.663,20314
Duloxetine,Depression,437,6.49,0.6595,20411
Olanzapine,Depression,64,6.05,0.6429,2795
Oleptro,Depression,5,6.2,0.6344,363
Effexor,Depression,259,5.78,0.6315,10994
Trintellix,Depression,304,6.06,0.6296,17973
Aplenzin,Depression,7,6.14,0.6288,161
Vortioxetine,Depression,458,5.93,0.6183,21062
Lisdexamfetamine,Depression,5,6.8,0.6118,13
Levomilnacipran,Depression,65,4.78,0.4721,2451
Fetzima,Depression,57,4.67,0.4506,2442
Betamethasone,Dermatitis,5,9.6,0.9307,67
Triamcinolone,Dermatitis,18,9.0,0.9172,351
Fluocinonide,Dermatitis,10,9.1,0.8702,216
Hydrocortisone,Dermatitis,5,7.8,0.8406,40
Clobetasol,Dermatitis,16,9.75,0.8334,288
Desonide,Dermatitis,8,8.25,0.7628,158
Prednisolone,Dermatitis,6,7.67,0.6692,79
Silver,Dermatological Disorders,6,9.33,0.9684,56
Betamethasone,Dermatological Disorders,9,9.33,0.9545,249
Urea,Dermatological Disorders,6,9.67,0.9368,172
Hydroquinone,Dermatological Disorders,5,3.2,0.4638,198
DDAVP,Diabetes Insipidus,6,9.5,0.9573,49
Desmopressin,Diabetes Insipidus,12,9.25,0.9021,77
Lantus,"Diabetes, Type 1",6,8.33,0.8812,148
"Insulin inhalation, rapid acting","Diabetes, Type 1",32,7.62,0.8215,1337
Afrezza,"Diabetes, Type 1",31,7.55,0.8162,1330
Insulin glargine,"Diabetes, Type 1",15,4.73,0.541,184
Insulin degludec,"Diabetes, Type 1",23,4.91,0.5283,310
Tresiba,"Diabetes, Type 1",22,4.91,0.5216,310
Prandin,"Diabetes, Type 2",5,9.2,0.9745,167
Glyburide,"Diabetes, Type 2",7,7.86,0.9711,225
Repaglinide,"Diabetes, Type 2",7,9.14,0.9347,178
Byetta,"Diabetes, Type 2",69,8.03,0.8566,2105
Chromium picolinate,"Diabetes, Type 2",7,9.0,0.8442,703
Victoza,"Diabetes, Type 2",352,7.92,0.8332,10633
Liraglutide,"Diabetes, Type 2",359,7.92,0.8331,10657
Lantus Solostar,"Diabetes, Type 2",14,7.64,0.8161,224
Exenatide,"Diabetes, Type 2",245,7.29,0.7845,6315
Bydureon,"Diabetes, Type 2",172,6.98,0.7556,4206
Lantus,"Diabetes, Type 2",17,7.29,0.7505,425
Glimepiride,"Diabetes, Type 2",38,7.58,0.7437,1778
"Insulin inhalation, rapid acting","Diabetes, Type 2",26,7.54,0.7435,418
Insulin glargine,"Diabetes, Type 2",51,6.86,0.7347,787
Amaryl,"Diabetes, Type 2",15,7.8,0.7316,1120
Jardiance,"Diabetes, Type 2",51,6.71,0.7246,1634
Jentadueto,"Diabetes, Type 2",8,7.38,0.7153,34
Afrezza,"Diabetes, Type 2",23,7.22,0.7139,405
Empagliflozin,"Diabetes, Type 2",54,6.7,0.71,1638
Metformin,"Diabetes, Type 2",107,6.22,0.7087,4767
Onglyza,"Diabetes, Type 2",13,6.38,0.7047,440
Saxagliptin,"Diabetes, Type 2",14,6.43,0.7024,441
ActoPlus Met,"Diabetes, Type 2",5,7.2,0.6958,82
Glucotrol,"Diabetes, Type 2",9,7.56,0.6791,834
Insulin detemir,"Diabetes, Type 2",20,7.0,0.6762,286
Metformin / sitagliptin,"Diabetes, Type 2",6,5.83,0.6656,18
Insulin degludec,"Diabetes, Type 2",17,6.59,0.6612,250
Tresiba,"Diabetes, Type 2",17,6.59,0.6612,250
Empagliflozin / linagliptin,"Diabetes, Type 2",10,6.9,0.6524,116
Glyxambi,"Diabetes, Type 2",10,6.9,0.6524,116
Glipizide,"Diabetes, Type 2",36,6.72,0.649,2163
Glucophage,"Diabetes, Type 2",25,6.2,0.6483,1697
Janumet,"Diabetes, Type 2",34,6.0,0.6398,1330
Canagliflozin,"Diabetes, Type 2",196,6.2,0.6392,7399
Invokana,"Diabetes, Type 2",191,6.21,0.6381,7393
Insulin lispro,"Diabetes, Type 2",8,6.0,0.6363,55
Levemir,"Diabetes, Type 2",16,6.75,0.6261,281
Toujeo,"Diabetes, Type 2",11,5.36,0.6189,77
Dulaglutide,"Diabetes, Type 2",299,5.99,0.6033,5573
Trulicity,"Diabetes, Type 2",289,5.97,0.5997,5571
Sitagliptin,"Diabetes, Type 2",67,5.81,0.5994,3142
Insulin aspart,"Diabetes, Type 2",8,6.88,0.5984,66
Januvia,"Diabetes, Type 2",60,5.92,0.5956,3124
Kombiglyze XR,"Diabetes, Type 2",13,5.54,0.588,142
Dapagliflozin,"Diabetes, Type 2",65,4.94,0.5116,1101
Humalog KwikPen,"Diabetes, Type 2",5,4.8,0.5085,11
Avandia,"Diabetes, Type 2",6,4.33,0.5,84
Rosiglitazone,"Diabetes, Type 2",6,4.33,0.5,84
Pioglitazone,"Diabetes, Type 2",31,5.16,0.4975,1047
Actos,"Diabetes, Type 2",29,5.1,0.4949,1036
Farxiga,"Diabetes, Type 2",55,4.95,0.49,1066
Linagliptin,"Diabetes, Type 2",28,4.5,0.4788,747
Albiglutide,"Diabetes, Type 2",11,4.64,0.4654,58
Tanzeum,"Diabetes, Type 2",11,4.64,0.4654,58
Novolog,"Diabetes, Type 2",5,5.2,0.458,46
Tradjenta,"Diabetes, Type 2",26,4.12,0.4526,738
Colesevelam,"Diabetes, Type 2",6,4.33,0.3933,87
Welchol,"Diabetes, Type 2",5,3.6,0.2837,87
Lisinopril,Diabetic Kidney Disease,9,5.67,0.5409,145
Topiramate,Diabetic Peripheral Neuropathy,8,7.25,0.8028,323
Nucynta ER,Diabetic Peripheral Neuropathy,8,8.12,0.7753,171
Tapentadol,Diabetic Peripheral Neuropathy,8,8.12,0.7753,171
Gabapentin,Diabetic Peripheral Neuropathy,37,6.59,0.692,899
Cymbalta,Diabetic Peripheral Neuropathy,28,6.89,0.6855,1094
Duloxetine,Diabetic Peripheral Neuropathy,31,6.55,0.6643,1101
Lyrica,Diabetic Peripheral Neuropathy,45,6.44,0.6357,2255
Pregabalin,Diabetic Peripheral Neuropathy,47,6.38,0.6334,2261
Lexiscan,Diagnosis and Investigation,8,5.75,0.6205,182
Regadenoson,Diagnosis and Investigation,8,5.75,0.6205,182
Zinc oxide,Diaper Rash,5,10.0,0.9487,26
Imodium,Diarrhea,5,8.0,0.9766,93
Florastor,Diarrhea,5,9.0,0.9384,239
Pepto-Bismol,Diarrhea,6,9.33,0.894,66
Bismuth subsalicylate,Diarrhea,7,9.43,0.8793,72
Saccharomyces boulardii lyo,Diarrhea,7,8.43,0.8754,246
Opium,Diarrhea,16,9.44,0.8658,290
Paregoric,Diarrhea,6,9.5,0.815,190
Atropine / diphenoxylate,Diarrhea,41,8.2,0.8051,1477
Loperamide,Diarrhea,23,8.7,0.7948,397
Lomotil,Diarrhea,27,7.93,0.7582,1339
Imodium A-D,Diarrhea,6,7.33,0.5828,134
Loperamide,"Diarrhea, Acute",7,9.57,0.781,67
Loperamide,"Diarrhea, Chronic",8,9.88,0.9675,192
Welchol,"Diarrhea, Chronic",18,9.78,0.945,1674
Colesevelam,"Diarrhea, Chronic",33,9.64,0.9372,1800
Ubiquinone,Dietary Supplementation,8,8.75,0.8104,262
CoQ10,Dietary Supplementation,5,8.2,0.741,191
Chondroitin / glucosamine,Dietary Supplementation,5,7.0,0.6679,53
Multivitamin,Dietary Supplementation,48,6.33,0.6237,1454
Biotin,Dietary Supplementation,9,5.67,0.5382,201
Omega-3 polyunsaturated fatty acids,Dietary Supplementation,9,4.89,0.503,179
Flagyl,Diverticulitis,46,6.83,0.7182,2435
Metronidazole,Diverticulitis,111,6.86,0.707,4250
Cipro,Diverticulitis,9,6.78,0.5724,442
Ciprofloxacin,Diverticulitis,16,5.56,0.5593,498
Lifitegrast,Dry Eye Disease,86,5.52,0.5787,1206
Xiidra,Dry Eye Disease,82,5.51,0.5774,1206
Ocular lubricant,Dry Eye Disease,17,2.82,0.3437,97
Systane,Dry Eye Disease,6,1.0,0.1388,74
Ammonium lactate,Dry Skin,7,9.86,0.9797,257
Biafine,Dry Skin,7,9.86,0.9032,66
Urea,Dry Skin,9,9.56,0.8903,191
EpiCeram,Dry Skin,14,7.64,0.7285,261
Emollients,Dry Skin,41,6.44,0.658,377
Cholestyramine,Dumping Syndrome,6,9.67,0.9768,228
Carafate,Duodenal Ulce,5,9.2,0.9063,292
Sucralfate,Duodenal Ulce,9,9.33,0.899,409
Pantoprazole,Duodenal Ulce,5,6.6,0.7287,98
Alprazolam,Dysautonomia,5,9.6,0.9676,78
Pyridostigmine,Dysautonomia,6,7.5,0.7707,52
Midodrine,Dysautonomia,6,9.33,0.7434,145
Mestinon,Dysautonomia,5,7.2,0.7312,45
Ospemifene,Dyspareunia,9,7.11,0.7313,211
Osphena,Dyspareunia,9,7.11,0.7313,211
Azo-Standard,Dysuria,7,8.29,0.8376,126
Uricalm,Dysuria,17,7.29,0.7224,314
Phenazopyridine,Dysuria,59,6.75,0.637,870
Pyridium,Dysuria,14,6.57,0.5862,281
Desonide,Eczema,17,9.41,0.947,372
Hydrocortisone,Eczema,10,9.2,0.9403,98
Halobetasol,Eczema,8,8.38,0.9153,82
Elocon,Eczema,20,9.45,0.888,524
Mometasone,Eczema,28,9.29,0.8789,584
Prednisone,Eczema,8,7.62,0.8637,295
Dupilumab,Eczema,16,8.06,0.8274,288
Dupixent,Eczema,15,7.93,0.8165,284
Elidel,Eczema,19,7.53,0.779,326
Pimecrolimus,Eczema,19,7.53,0.779,326
Desoximetasone,Eczema,8,8.12,0.706,152
Bumetanide,Edema,5,7.6,0.8148,102
Spironolactone,Edema,8,8.62,0.8061,306
Furosemide,Edema,41,7.46,0.7446,2632
Lasix,Edema,22,7.41,0.7363,1897
Hydrochlorothiazide,Edema,5,7.0,0.6576,211
Triamterene,Edema,6,6.5,0.6041,153
Hydrochlorothiazide / triamterene,Edema,13,6.46,0.5714,324
Plan B One-Step,Emergency Contraception,552,8.68,0.8748,10928
Plan B,Emergency Contraception,789,8.7,0.8697,9532
Levonorgestrel,Emergency Contraception,1651,8.47,0.8503,22378
Next Choice,Emergency Contraception,44,8.05,0.7939,634
Ulipristal,Emergency Contraception,74,7.3,0.7714,677
ella,Emergency Contraception,71,7.18,0.7645,677
My Way,Emergency Contraception,22,7.27,0.7506,122
Aftera,Emergency Contraception,74,6.89,0.7361,515
EContra EZ,Emergency Contraception,5,4.2,0.4995,20
Megestrol,Endometrial Hyperplasia,6,5.67,0.4299,107
Aviane,Endometriosis,6,8.67,0.9334,60
Microgestin Fe 1 / 20,Endometriosis,11,7.09,0.8374,113
Microgestin 1 / 20,Endometriosis,5,7.6,0.8177,45
LoSeasonique,Endometriosis,8,7.88,0.7408,57
Ethinyl estradiol / norethindrone,Endometriosis,56,6.18,0.7154,448
Tri-Sprintec,Endometriosis,5,6.8,0.6953,48
Loestrin 24 Fe,Endometriosis,17,6.0,0.6781,217
Goserelin,Endometriosis,24,6.25,0.6382,507
Zoladex,Endometriosis,24,6.25,0.6382,507
Medroxyprogesterone,Endometriosis,53,6.02,0.6339,1051
Depo-Provera,Endometriosis,46,6.2,0.6315,1030
Lupron Depot,Endometriosis,76,5.82,0.6102,1736
Norethindrone,Endometriosis,27,5.67,0.6057,409
Leuprolide,Endometriosis,102,5.64,0.6037,2153
Lupron,Endometriosis,17,4.88,0.6029,378
Ethinyl estradiol / levonorgestrel,Endometriosis,74,6.15,0.597,610
Ethinyl estradiol / norgestimate,Endometriosis,40,6.18,0.5861,335
Ethinyl estradiol / norgestrel,Endometriosis,8,6.88,0.5704,55
Sprintec,Endometriosis,12,6.0,0.5493,94
Seasonique,Endometriosis,27,5.19,0.5226,295
Cryselle,Endometriosis,7,6.57,0.5115,41
Etonogestrel,Endometriosis,8,4.12,0.4777,2
Levora,Endometriosis,6,5.17,0.4096,33
Ortho Tri-Cyclen Lo,Endometriosis,8,4.0,0.3949,101
Depakote ER,Epilepsy,14,7.57,0.8512,184
Phenytoin,Epilepsy,26,7.58,0.836,218
Dilantin,Epilepsy,21,7.43,0.8199,205
Keppra XR,Epilepsy,6,7.33,0.8039,62
Carbatrol,Epilepsy,8,7.75,0.8013,97
Tegretol XR,Epilepsy,8,7.12,0.7897,95
Gabapentin,Epilepsy,10,6.5,0.7537,194
Divalproex sodium,Epilepsy,53,7.19,0.7495,860
Depakote,Epilepsy,35,7.14,0.7379,667
Felbamate,Epilepsy,8,8.12,0.7361,52
Carbamazepine,Epilepsy,57,6.91,0.7281,791
Levetiracetam,Epilepsy,71,6.17,0.7139,1185
Lamotrigine,Epilepsy,17,6.71,0.7109,77
Lamictal,Epilepsy,6,6.0,0.7066,23
Keppra,Epilepsy,43,5.91,0.6835,1035
Tegretol,Epilepsy,30,6.6,0.6746,537
Felbatol,Epilepsy,5,7.6,0.6647,45
Fycompa,Epilepsy,14,5.86,0.6284,151
Perampanel,Epilepsy,15,5.53,0.5912,153
Caverject Impulse,Erectile Dysfunction,6,9.33,0.9596,300
Cialis,Erectile Dysfunction,315,8.76,0.894,17843
Tadalafil,Erectile Dysfunction,355,8.72,0.8857,18109
Staxyn,Erectile Dysfunction,22,9.05,0.8826,1813
Edex,Erectile Dysfunction,25,8.64,0.8732,1379
Viagra,Erectile Dysfunction,138,8.67,0.869,8482
Sildenafil,Erectile Dysfunction,199,8.49,0.8592,9740
Vardenafil,Erectile Dysfunction,125,8.2,0.8534,7201
Levitra,Erectile Dysfunction,98,8.09,0.8531,5373
Alprostadil,Erectile Dysfunction,78,7.73,0.7959,3756
Avanafil,Erectile Dysfunction,38,6.26,0.6803,1230
